Width,Height,Aspect Ratio,File Size (KB),Class
474,474,1.0,47.474609375,test
474,316,1.5,17.294921875,test
474,248,1.9112903225806452,16.2841796875,test
474,342,1.3859649122807018,22.3662109375,test
474,355,1.3352112676056338,10.78515625,test
474,368,1.2880434782608696,18.0849609375,test
474,355,1.3352112676056338,27.6474609375,test
474,355,1.3352112676056338,48.439453125,test
474,270,1.7555555555555555,28.8486328125,test
474,355,1.3352112676056338,23.1484375,test
474,237,2.0,30.1474609375,test
474,343,1.3819241982507289,19.919921875,test
474,266,1.781954887218045,12.2578125,test
474,711,0.6666666666666666,59.669921875,test
474,266,1.781954887218045,26.6796875,test
474,388,1.2216494845360826,16.861328125,test
474,397,1.1939546599496222,32.38671875,test
474,474,1.0,32.6728515625,test
474,355,1.3352112676056338,19.2939453125,test
474,395,1.2,18.783203125,test
474,344,1.377906976744186,16.5419921875,test
474,529,0.8960302457466919,49.73046875,test
474,474,1.0,17.640625,test
474,266,1.781954887218045,14.265625,test
474,474,1.0,20.5322265625,test
474,266,1.781954887218045,14.015625,test
474,392,1.2091836734693877,26.1220703125,test
474,269,1.762081784386617,22.791015625,test
474,274,1.72992700729927,21.8125,test
474,474,1.0,11.0322265625,test
474,266,1.781954887218045,15.6728515625,test
474,308,1.5389610389610389,19.291015625,test
474,474,1.0,29.796875,test
474,378,1.253968253968254,23.03125,test
474,315,1.5047619047619047,25.8369140625,test
474,711,0.6666666666666666,102.6884765625,test
474,474,1.0,31.544921875,test
474,474,1.0,36.208984375,test
474,278,1.7050359712230216,34.548828125,test
474,296,1.6013513513513513,38.1748046875,test
474,266,1.781954887218045,22.48046875,test
474,318,1.490566037735849,35.34765625,test
474,404,1.1732673267326732,26.1015625,test
474,474,1.0,22.81640625,test
474,632,0.75,22.626953125,test
474,266,1.781954887218045,19.0947265625,test
474,463,1.0237580993520519,40.576171875,test
474,276,1.7173913043478262,25.3193359375,test
474,474,1.0,40.9375,test
474,336,1.4107142857142858,21.6533203125,test
474,474,1.0,23.73046875,test
474,317,1.4952681388012619,49.2275390625,test
474,266,1.781954887218045,29.0908203125,test
474,271,1.7490774907749078,38.052734375,test
474,221,2.1447963800904977,17.701171875,test
474,464,1.021551724137931,45.39453125,test
474,210,2.257142857142857,23.5771484375,test
474,474,1.0,16.052734375,test
474,400,1.185,17.6318359375,test
474,266,1.781954887218045,14.5263671875,test
474,266,1.781954887218045,19.4599609375,test
474,366,1.2950819672131149,43.314453125,test
474,284,1.6690140845070423,22.416015625,test
474,581,0.8158347676419966,48.306640625,test
474,230,2.0608695652173914,11.515625,test
474,474,1.0,20.5234375,test
474,274,1.72992700729927,21.80859375,test
474,266,1.781954887218045,19.08984375,test
474,288,1.6458333333333333,14.5322265625,test
474,286,1.6573426573426573,15.9892578125,test
474,344,1.377906976744186,9.9580078125,test
474,474,1.0,9.4443359375,test
474,315,1.5047619047619047,34.0400390625,test
474,342,1.3859649122807018,18.1376953125,test
474,265,1.788679245283019,16.15234375,test
474,474,1.0,18.2509765625,test
474,237,2.0,28.423828125,test
474,316,1.5,39.5693359375,test
474,267,1.7752808988764044,18.205078125,test
300,200,1.5,13.8447265625,test
474,231,2.051948051948052,20.591796875,test
474,286,1.6573426573426573,41.7705078125,test
474,474,1.0,16.6044921875,test
474,378,1.253968253968254,16.9384765625,test
474,266,1.781954887218045,26.2021484375,test
474,474,1.0,23.6611328125,test
474,379,1.2506596306068603,21.7197265625,test
474,474,1.0,16.177734375,test
474,266,1.781954887218045,21.634765625,test
474,474,1.0,31.2158203125,test
474,284,1.6690140845070423,17.208984375,test
474,266,1.781954887218045,37.369140625,test
474,474,1.0,24.6875,test
474,263,1.8022813688212929,18.3427734375,test
474,474,1.0,69.3173828125,test
474,474,1.0,76.521484375,test
474,474,1.0,28.681640625,test
474,266,1.781954887218045,31.625,test
474,266,1.781954887218045,13.814453125,test
474,254,1.8661417322834646,13.16015625,test
474,300,1.58,19.6337890625,test
474,1422,0.3333333333333333,40.2158203125,test
474,355,1.3352112676056338,39.1162109375,test
474,304,1.5592105263157894,16.599609375,test
474,237,2.0,17.8046875,test
474,249,1.9036144578313252,29.818359375,test
